Comment,Toxic
abhe kr lia kr yar kia masla ha tujhy kaun bat nhi krta,1
nahi nhi bilkul nhi han ab na ana,1
mujy yd aa wo zra zra unhy yd ho na yd ho,1
kabhi kabhi mere dil mn ye khyaal aata hy main dunya main ayaa hun kiss liye,1
psl match schedule ki kitab,1
dear sister can see you are lacking in basic arabic but for your kindest information it means jhoton pa allah ki laanat ho,1
haha apka time bhi apke liye tweets hongi phir,1
gajar for eyes dimag ke liye akhrot aur sanjay raut ke liye dua isse dawa nahin dua ki zaroorat hai ab,1
tweeter walo tum log sotey nai kia,1
yar enjoy krny ka tareqa bna liya sb ny bs,1
tum logon ki takleef baja ha tumhari dum pe sheeerrrr ka paaon aa gia ha,1
aj pata mujhe tumsy yeh,1
got it isis has nothing to do with ahmadiya islam but have read the history of early islam all those wars punishment for conspiracy against islam apostasy beheading due to differences in opinions which were proven true and endorsed by the scholars,1
randiyon ko discuss kia jata hai,1
kuch nhi lagi rahen,1
pinned tweet lagi howe hai na es liye puch raha hun or suna sb thk hai,1
mashra haqeqat dy ye warshal ap jaisay azeem leaders ko ghadar kehta hy releasemanzoorpashteen releaseislamabadprotesters,1
mashaallah bhai duaaon mein yad rkhna zindgi ka ehm faisla hony ja rha,1
to fast ko face karna tha na,1
mujy yd aa wo zra zra unhy yd ho na yd ho,1
psl intezamia se mutalba hai ke lahore qalandar ke tamam matches queeta ke sath karwai,1
gaur say padhiye is trend ko isme hindu ki koi baat nahi hai baat ho rahi hai hindutva ki extremist are always dangerous for society either hindu or muslim,1
lol ap hmare muashray ko tabah krna chahti hain ap shayd lahorism ka shikar hain baqi teams khailne ni ati kya jeet uski hoti hai jo acha khailta hai jiske muqaddar me jeet hoti hai,1
mere shehar me meri behno ne bata dya rab ka jism or rab ki marzi,1
nope not so massom that mjhe kisi ne realise karaya,1
sare amm tweets main bat kary gy to sab ko ptaa chaly ga naaa,1
nahi roko main to tweet kar ke betati hon saab ko,1
very beautiful hijra,1
ye,1
ye jism ha to,1
please gujranwala main islamic behno kay march ki video share kro log apko follow krtay hain,1
koi ni seek jao gi mujy bi ni ati thi bas khl khl seek gia,1
humen ignore karne walo ka bhi aik din hisab,1
aap bnana main piyun,1
bhai sun meri bt itna tw bol rha nah tw aurat ky sath sath islm mein mard ku bh ankhon ka parda kaha gya tw beta tw ja kr twiter bnd kr dy na chala logu na sikha ky kis ny pic lagai hui wmy wo twiter chalny bnd kr dy phly tw khud amal kr phr kr logu ku samjhai,1
acha kch bnana ata ha tmy,1
aapse behter yeh yahoodi hai waise jo corruption aur jhoot aur fareb ke khilaaf hai aapke tara nahi,1
crush ko stalk kerne liye,1
ni mujy specially allah ki trf se blessing hy,1
qabrustan ja dekho kis ka jism kis ki,1
politics hoti tu wo loan le ker subsidy de deta,1
wtf yaar guyz drama tha khatam ho gya jaan choro act tha bs muhabbat ko samjh nahi sakty to uska mazak na urao feel the dialouges pain emotions behind tht scene jo muhbt ky dawy dar bny phrty hein allah hi maaf kry unky emotions pr merypasstumho,1
ni hona chahynd hoping this time she will nt reactmay be,1
nope not so massom that mjhe kisi ne realise karaya,1
gusa karna ki kia baat ha main na kaha thaa qalander will win today itna kafi ha tum logun ka,1
ya to bana ka bad pata chala ga faida ha ya noksan,1
rt can nice and kind yahoodi agent fund me ya girls broke af but illzam muft main lagta hai,1
ehd wafa dekhny bad sari exs ny msg kiye janu tum tou thk ho na,1
waooo so delicious tea made by mama kon kon peena chahta wednesdaythoughts,1
esi ly main tanhai pasand hon aur ap,1
phr aapko kya pata hm single logon dukh,1
rt allah ham sabke maa baap ko sehatyaab kare,1
us din bol ri thi han me har gae ab bs krdo thk gae hu,1
shariyat nai piyar krny se nahi hadd par krny se roka,1
or jis din samj na aye kia kerna us din phr saag paka lo,1
ok phir thk ha maine main ki matric federal board se,1
yeah single life tab tak best hai jab tak aap ko kese se mohabt naw hoye ho am also single but,1
sikha hi na dain kahin,1
kisi dost sy bt kr rhy hongy,1
lakin mera toh past tha,1
chl to jae ga pr phir,1
uss ak milny ap puri dunya uskay nam kardn gy yani apko phr koi wasta nahi rahyga dunya,1
tum ny kitabon se btaya tha hum ny kitabon se hi btaya hai,1
koi proof nahi sir,1
aj bhera accudent me yeh bacha bhera hospital me aya hy isko koi janta hy to kindly rabta kre,1
aby tu phr agai,1
psl mai ek team faisalabad ki bhi honi chahiya thi bht acha khel lety hain,1
chaalloo ager imran waqaye yahoodi agent hota to is ko iqtadaar may laatay laatay saal na lagtay ye pehlay saal may he hakoomat may hota,1
thank god mantasha tmhari ankhon say pati utri tmy aj pta chala but der aye drust aye,1
pata nahi india ney siachen par kabza kar key kia achieve kia haisiachen main na toh kisi kism ka khazana hai aur na hi wahan koi cheez ugti hai aur na hi siachen main aam log reh sakte hainso dont knowwhy pakistan and india are fighting over siachenlol,1
ya allah ham tamam musalmano ko yahoodi ejant banny sy bacha ya allah hamien seedah rasta dikah ya allah ham tamam musalmano ko hedayt dy ameen sum ameen,1
teri bewafai ka gham tu nai par tu bewafa nikla gham ye kam nahi,1
smjdar ho,1
like to believe that zafar penned that as well but there has been relentless campaign by prominent personality to prove otherwise aajkal vaise bhi history dubara likhne ka zamana hai,1
sunao janab pehle hi arz ki thi kuch nahi milne wala,1
jamia university ki vc ka darad or student ki chinta or delhi police ki kaam per kuch important question jo desh janna chahte,1
you are an ahmadiya so you probably understand the mistreatment of hindus in pakistan,1
aisa aapne bola goli maaro saalon ko toh aaj yeh ho gaya please aapnek insaan ho dhumal ji bete ho aisa kisi ko nahi bolein jai mata ki,1
qsm se me kehna in chah rha tha lkin jse actress asistant ni hty yes mam wo wale lg,1
hum upset he huay hai us sath daikh kar,1
hahahahahahaha aray nahi me sirf ye bata rhi hn farmabardar bv kasy,1
oh wah keya bat hai seekh rehi ho,1
oh see apki jagah kisi aur ko dulha bna den gy,1
